7	140498077	5	175998094
7	140487102	2	40345734
6	29798597	6	29977332
20	54945335	10	116006423
7	80801844	5	58988250
12	57488067	2	33141297
19	47336729	2	202146401
15	23699701	13	92901977
12	112893808	5	23304752
7	6436530	4	46725983
3	162764905	3	162769095
18	18517570	18	18520190
6	29856001	6	31324473
6	29856062	6	29910831
16	33373367	15	20488879
16	2223843	2	33141301
10	123241366	7	135157281
11	30098673	11	30099373
10	38372666	10	43059496
6	31358928	6	31455837
X	47040557	2	33141307
1	247249096	1	247277471
6	29911044	6	31324163
19	15353800	2	33141376
11	121232726	10	88683140
6	29858444	6	29977358
6	100978476	6	100979070
7	140487117	4	155874107
21	42868774	2	33091858
12	12032968	9	115107734
3	34786368	3	34786942
