2	29416089	30143525	ALK
7	140434396	140624366	BRAF
7	55086970	55273310	EGFR
12	11803061	12268260	ETV6
22	29663998	29696672	EWSR1
10	43572706	43623717	RET
6	117609654	117746819	ROS1
21	42838068	42879931	TMPRSS2
1	156785621	156851434	NTRK1
2	113973574	114036498	PAX8
10	123239094	123353388	FGFR2
4	1795661	1808989	FGFR3
15	34635516	34649931	NUT
2	111881322	111921808	BIM
12	57482676	57489259	NAB2
19	14625581	14629201	DNAJB1
1	156830670	156851642	NTRK1
X	48886241	48900990	TFE3
19	14202506	14228559	PRKACA
5	149782689	149784276	CD74
